text,target,stance
"I don't think comments sections have failed; the media have failed. I see several things happening; - first, the fat cats who control these things (the press, newsletters, etc.) don't want to be publicly embarrassed by well-written, cogent counter arguments; and two, they have found out that they can't hire editors to handle the volume for thirty cents a day. The sheer volume itself is an indicator of how deep the sense of abandonment is among the hoi polloi.",comment sections,FAVOR
"If the IPCC is right, nothing we do will save us. Warming of 2 to 4 degrees C. is already baked into the cake. The planet's ecosystems are on the verge of collapse. we seem to be headed for another dark age. By all means, lets litter the ruins with glow-in-the-dark waste; a radio-active cherry to top off the mess we've made of the only home we had..",nuclear power,AGAINST
"DR Ballantyne- Sydenhams views no longer apply to modern medicine- we have treatments now- like platelet rich plasma, LENS neurofeedback, stem cell therapy, German new medicine, neural prolotherapy, oxidized ATP, MitoQ, ESWT, acupotomy- that you and your colleagues need to learn to help people in pain. No doubt the overuse of opioids has stemmed from the moral laziness of doctors when it came to offer the right care for people in pain. Doctors and medicine is still remiss in developing and deploying good treatment for pain. And training based on the little that pain specialists know and do will be of too little help to people in pain. Its time for Ballantyne to call for raising standards of care for all involved in pain care. And lets not maketoo much out of past treatments for the prevalence of pain is on the rise.",opioid training,FAVOR
"@KatrinaLeRusso @v15708729 @NYGovCuomo New York was hit hard because of an over strict lockdown and lack of intellect in dealing with the condensed community, instead of testing they shouldÕve been distributing nutritional supplements,also leaving subways open &amp; uncleaned for 7 weeks before cleaning is dumb",lockdown in new york state,AGAINST
"""i said nothing about blankets""omg. rofl. That's priceless.",gay rights,FAVOR
"@OmnivoreBlog @ExDemUWSYenta Jews who felt that they had to Òcall outÓ attendees of the Hasidic funeral despite de BlasioÕs anti semitic tweet, backed the protests while NY was still under lockdown. I canÕt trust them anymore, not one tiny bit.",lockdown in new york state,AGAINST
RT @abhinav_khanal: 700 people dead in Pakistan due to heatwave. #SemST,climate change is a concern,FAVOR
"#MeToo: 9 of 10 sexual harassment plaints proven to be true

As India faces its #MeToo reckoning there has been the occasional voice questioning the movementâs progress. But sexual harassment, if anything, is a problem that has received less attention than it deserves given â¦ https://t.co/tH6giv5YAh",metoo movement,NONE
"Hope these other states who had high death rate due to Covid-19 to pls. totally lock down whoever is thegovernor of these states for thesafety of the American people NewYork is #1 plsGov.Cuomo, Louisiana ,Michigan &amp;more https://t.co/rt04yKHaRY",lockdown in new york state,FAVOR
"The U.S. desperately needs to strengthen its ties to the larger world. All of its failures stem from its traditional and on-going isolation. The Humanities, and in particular, the acquisition of a foreign language (culture, literature, history, alternative ways of living), are vital to broadening the professional lives of all young Americans. The study of French is the doorway to understanding our own background (some 40% of English derives from French), our history, our identity. Cutting such vital elements of education is in fact suicidal for U.S. society.",colleges,FAVOR
"As a cancer survivor (14 years in remission after an aggressive lymphoma treated with Chemotherapy and monoclonal antibody therapy) I am happy to say that I made very extensive use of the Google during my treatment. It obviously doesn't replace or 'outrank' my specialists, but I found it was a big help in educating me and filling in background info on my situation and the treatment options that were being recommended. I believe researching options online helped me to ask better questions and ultimately made me a lot more comfortable with the treatment plan my doctors recommended. In most cases, the information I found online agreed with what the docs were telling me. I found that to be very comforting because I didn't just feel like I was taking everything the docs said on blind faith and at face value. In at least 2 cases, the questions I asked did lead to changes in my treatment plan.",medical websites,FAVOR
"Whats rude? Oh well, based on the innocent until proven guilty theory. My religion never spread any lies. Thanks for playing.",gay rights,AGAINST
"@TimesNow #LockdownRoadmap 
Extend lockdown till April end 
Malls /theatres/open spaces /beaches /parks /educational institutions will be closed till June 
Work from home option till May 
Phase out lockdown or else we will be next New York :::(god forbid )",lockdown in new york state,FAVOR
"No of course it should not be illegal as long as proper technique are used. A cat is a possession, it has no say in the matter. Next someone will insist that we treat animals like people and have government mandated health insurance. Just foolish.",declawing cats?,AGAINST
"The ""mediaflow""? You think that we all feel this way because the media told us to? Wow... that is quite an insult! I just know to treat everyone fairly.",gay rights,FAVOR
"As the 61 year old parent of two late 20 year olds I think all the helicopter parents here who think they can monitor their kids to the nth degree and not destroy the relationship are out of their minds. In particular ""I have the gold I make the rules"" is the relationship of master and servant. If you want your kids to quit school and be waitresses or bartenders to get you off their back keep repeating ""i own you until you pay your own bills"". If you want a lawyer, a Doctor an MBA or a Phd in the family you have to learn to respect their autonomy while still providing support. Respect for autonomy starts early and grows as the child grows. The years between 13 and 18 are critical. The child has to learn self control and you have to learn to let go and respect your childs autonomy. Otherwise there is an explosion when they hit 18",self-control,AGAINST
"A positive step heading in the single-payer direction would have been to make Medicare available for everyone as a free choice. That would have allowed a seamless transition into Medicare for younger people, or anyone not yet 65. It would have provided good health insurance cover, already in effect, without all the politics, bureaucratic, technically-deprived downsides going on now with the start-up into the ACA.",obamacare,AGAINST
Hate #metoo concept - https://t.co/uUdZZMqmfI #DarkHumor #love #beautiful #cute #fashion #tweegram https://t.co/oCdZ4JPi0u,metoo movement,NONE
"I am a successful screenwriter who has lived on the Upper West Side for two decades and have watched as my neighborhood has gotten richer and duller seemingly week by week. I frankly find LA to be a much more interesting place creatively which is something I never thought I'd say. I can't speak for the whole city, but the UWS is now Scarsdale with a subway.",helping condo developers,AGAINST
"""Is there any evidence that those terrorists targeted by American drones are in compliance with the rule of law? ...... If terrorists are under no such ""legal obligations,"" it would seem that drone operators are not bound by them either!"" So, if my neighbor breaks the law, then I get to do so also? I cannot believe that anyone would argue that ""someone else is doing evil things"" so therefore there is no reason for the US government to behave in a moral and lawful way in the world. The America I knew in my childhood is DEAD.",attacks,AGAINST
@KeithJonesJr IÕm on my own lockdown IÕm not going to parties or clubs in NYC..and IÕm saying the past 3 months how are people coping __,lockdown in new york state,NONE
A Dutch court has ruled that the gov must cut emissions under human rights law! Interesting. #climatejustice2015 #SemST,climate change is a concern,FAVOR
"The vast majority of heroin users have first used coffee, tobacco and alcohol so I guess these are gateway drugs too. Or maybe sugar is the first gateway drug? Too much nonsense is written about marijuana leading to addiction of the harder and more dangerous drugs like alcohol.",marijuana,FAVOR
"""The judicial code of ethics says that judges are not to endorse or oppose candidates for elected office. But these provisions do not apply to Supreme Court justices."" The judicial code should apply to supreme court justices. A justice can't be both partisan and impartial. RBG has jumped the shark. She should recant or resign.",political bias in judges,AGAINST
"I certainly wouldn't blame any athlete for ditching Rio this year. The IOC needs to tread carefully with BRIC (Brazil, India, Russia & China) nations who may have the means to host, but not the civil society counterweights to prevent that happening on the backs of their countrymen.",brazil,AGAINST
"""I am debating it mainly to create a FAQ sheet for it""Hilarious.""I lose a few months off my life span""The truth will do that to you????""So are we asking if a telic force exists or are we trying to psychoanalyze the intentions behind it?""Nope.  We are ridiculing the ridiculous.  The ""negative argument"" that ""  evolution   cannot explain that"" is ridiculous.",creationism,AGAINST
''The Walt Disney Company will acquire 21st Century Fox for $52.4 Billion in stock''' https://t.co/naU0ChZI3y,merger of disney and fox,FAVOR
"This comment is a bit dumb in its limited focus. The guy says kids don't need to be taught how to search the internet, as if everything that is available in a library, esp. a research library, can be found on an internet search engine. Not true. There are all kinds of databases with densely packed data that require expertise to access. Helping students find their way through increasingly modern archives of value treasure troves of data is what librarians do. Maybe fifth graders don't all need to do high level research but we need some humans prepared to do serious, in-depth research in the human future. Doesn't that effort begin in school? It is mindboggling me that this 'expert', a high-tech exec in Silicon Valley (as if that means he knows anything about research) who actually participated on a board that established CA educational standards. It's scary to have such a lame-brained mind in such a position of power over educational standards for CA children. I have a doctorate and sometimes I need a librarian to help me find answers to questions. That's what librarians are for. And kids need them more than I do.",libarians,FAVOR
I use the library all the time and I don't use their computers. I order DVD's and books. Our library in Gulf Gate is the busiest library in Sarasota and a new library is going to be built on the same location next month.,libraries,FAVOR
"""The only thing necessary for the triumph of evil is for good men to do nothing."" Essential, fundamental, necessary opposition to evil supersedes the compunction of judicial ethics. One need only consider the grave harm that Trump represents to our country and to the human race when weighing the choice of maintaining judicial restraint. Is there a moral requirement to put aside our robes, our membership in a Party, our polite discourse and shout a warning. God bless Justice Ginsburg.",elections,AGAINST
"We should have consumption (sales or VAT) taxes and capital gains taxes should be 50 percent declining one percent per quarter reaching zero in 12 1/2 years. The corporate tax rate should be zero, and C Corp. earnings should be taxed like S Corp. earnings. That would eliminate the cause of cash hoards in Corp. treasuries, and provide more liquidity. Most current deductions other than catastrophic loss should be eliminated. Charitable deductions should be more limited if not eliminated, especially for organizations that propound political positions (churches that mention politics, policy think tanks, and all political advocacy groups). But look out for the European outcome with high VAT, income, dividend, and capital gain taxes like Germany where too large a share of GNP is run through government accounts. We should have very little reliance on income taxes as they discourage both work and business. Those mega yachts, and mega dwellings are a simptom of the foolish tax laws we have now.",tax rate,AGAINST
"The racial argument is a distraction: relevant to the repudiation of other policies but not this one. The real question is whether our right to vote should be linked to compliance to law. I suggest that a due process argument applies. While criminals were sentenced under due process, the removal of voting rights was attached not by the court but by the legislature without reference to the particular case. If illegal action is thus punished, should we include traffic offenses? Late filing of taxes? Disenfranchisement seem an unusual and arbitrary punishment and is not handled by the judiciary to whom the constitution gave the authority in sentencing. Star Ship Troopers was a dreadful, great movie: but it held that the right to vote was earned by military service. In America, the right is not explicitly defined but I suggest that it is implicitly based on citizenship and felons remain citizens. You may not like that they can vote, but that should hold no greater weight that your dislike of that idiot down the street with all those dumb signs in his yard.",racism,AGAINST
"I'd just like to see the curriculum. Too many times, the syllabus for any given course is behavior focused with no mention of the topic material to be covered. I also have to agree with one of the commentators below. Language Arts and similar classes are not academically challenging for good readers because of the need to accommodate those who struggle. I don't object to helping those who struggle but I would certainly let my child opt out of classes where he/she does not learn anything new. I'd also opt out of the character education training, which too often, requires students to respect everyone's opinion.",curriculum,FAVOR
Saw #measureformeasure last night â¦@DonmarWarehouseâ© -&gt; the #metoo moment from a judge ððð https://t.co/OajyeRDoEV,metoo movement,NONE
"Privatization of state asserts means that German businessmen can buy those asserts at a fraction of their real value and make Greece a German colony. Lachman has served the interests of the world's financial elites whose motto (Adam Smith, bk 3) is ""everything for ourselves and nothing for other people."" Those German businessmen and firms spent hundreds of millions of euros bribing Greek officials to buy German weapons including a set of submarines that never went to sea and are now rusting ashore--Merkel's masters want them paid for though the debt be odious. A major NY bank enabled a Greek government to disguise huge borrowings as investments; those debts too are odious. There's a story: Merkel went to Greece; the customs official asked ""Nationality,"" Merkel answered ""German."" ""Occupation"" asked the customs officer, Merkel replied ""no, I'm just here for the weekend.""Lachman warns ""leaving the euro would almost surely result in a massive run on the Greek banks, which would plunge the country into economic and financial chaos."" Where does he think Greece is now? Oh yes, reparations for the German occupation of Greece during WWII?",privatization of greek state assets,AGAINST
.@Varietyâs 2018 Power of Women Celebration #MeToo @Alyssa_Milano @TaranaBurke #LisaBorders https://t.co/XHfTXABI5j https://t.co/CC5VCHAnu2,metoo movement,FAVOR
"At this very moment I have access to a myriad to foreign language, mathematics, history, or programming courses that I can take in my free time and increase my knowledge of virtually any area of life I choose. Am I doing it? Absolutely not. Schooling involves so much more than simply logging on, watching a video or two and reading a few dozen pages of prepared materials. Learning involves interaction not only with students but with peers. By understanding where you stand among peers and listening to their interpretations of the subject, a person learns far more than the simple course material. They learn how to think, how to interact with peers and teachers, and to have some sense of the larger world. Home schooled children tend to test well but how many of them have gone on to really grow in a career? How many of them have a real understanding of what it means to be part of a group? Online resources are a wonderful supplement to traditional education but they will never hold a candle to the socialization that occurs in a classroom setting.",online classes,AGAINST
#MeToo - Payal Rohatgi rekindles sexual harassment allegations against Dibakar Banerjee; questions if YRF will continue with work with him   https://t.co/qzhTOKRSJH https://t.co/GieRjIwml2,metoo movement,NONE
"I used to teach Quantitative Reasoning. One of the databases we used to analyze was birth rate by country. That was over ten years ago, but it showed my students how high birth rates would become unsustainable in small countries without similar economic growth rates. The same countries we identified as problems back in that course are in the center of the refugee and problematic youth crises now. Just divide the birth rate (in percentage) into 70 and you get the population doubling time. How can an economically stressed country every imagine handling the doubling of its population in less than a generation? It doesn't make any sense to talk about overall wealth in the world, either, when people have no realistic prospect of any future access to it without migrating. I would try migrating too if I were in such a country.",overcrowding,AGAINST
"I am in my 9th year teaching, and yes, I feel sorry for the students I had my first year. I am a good teacher today, and it did take about 5 years to reach that point. I have never worked in a charter school, but I did once interview at one (and decline the job offer), and I know several teachers who currently work at charters. Charter schools do not offer competitive salaries. In addition, charter school teachers have more duties and longer hours in school, so, after factoring in daily lesson planning on top of their extended hours, they work much longer, in poorer conditions (the shiny buildings don't mean good work conditions) with much lower salaries. No education professional actually believes that charter schools are hiring superior teachers.",experience,FAVOR
"Ginsburg is not so much a Court Justice or even an attorney as she is a liberal political activist. Her presence on the Court is an insult to the Constitution and the Founders' intentions for this republic. Liberals screech when pro-Constitution judges anywhere speak plainly, but get all googly-eyed when their Heroes of Collectivism do the same.",liberal,AGAINST
"I would think it would depend on the individual student. My son and my grandson have both taken courses on-line and have done very well!! Perhaps as there are less distractions, working at their own pace and on a time when they are more receptive to learning. They might miss the interaction physically..but...the plus outweighs the minisus. AND they are not involved with less studious students who cause many distractions.",online classes,FAVOR
"Aside from all the new and exciting ways libraries are giving their public access to information, I am in love with the fact that I can access books I would never buy just to see if I like them. If not, no wasted money or time. And sometimes I uncover new gems by this method. Something I didn't have the time to do at Borders. I love the fact that my library appears to be a hub for all kinds of learning and discussion. Where else in this money-driven world is there space for a community center that operates well and offers value to everyone?",libraries,FAVOR
"--OasthadAre we machines choosing between incorrect and correct responses, or are we sentient being choosing between good and evil? How could you not teach this?--That's a good topic for sunday school. As far as I can tell, this is part of the message they are teaching.What more do you want",creationism,AGAINST
"RT @InProportion2: For some it is so obvious that lockdowns save lives it doesn't need to be discussed.

Gov. Cuomo of NY is discovering thÉ",lockdown in new york state,FAVOR
"Our hands offer a unique pathway to our brains. Using a pencil, pen or stylus to write appears to allow the brain to trigger different storage mechanisms, I am an educator with a son healing from a severe brain injury. We have spent years in Occupational ttherapy but even more time at home struggling. Cursive writing as well as drawing appear to trigger different brain functions and memory. We do not have to return to the 50's Palmer method perfection.It has been my observation that our brain functions have a unique stamp over some universal packaging, My son responds to music therapy more than other s while I enjoy writing and know I write better on paper than at the keyboard. Our children need to be taught some form of cursive writing, the elements of drawing and the power of our hands. The hand has an HOV pathway to our brain. We should not let that roadway fall into disrepair.",teaching cursive writing,FAVOR
"The veggie and fruits at the supermarket have been scrubbed, plucked and waxed to be cosmetically perfect. And before landing in the produce section display cases they have been riding around in refrigerated tractor trailers for days and in some cases weeks --slowly oxidizing and losing precious nutrients. Why the devil would you want to eat this stuff? Buy local produce from the farmer's market instead.",the expense,FAVOR
"The NYT recently ran an article about how people lose the ability to make decisions as it gets later in the afternoon. The example given was that parole boards cease giving parole to prisoners whose cases come up in the afternoon, not because these inmated had worse cases but because , by afternoon, the human brain needs a break and decides not to decide. How does this new research fit into longer school days? Will late afternoon classes be useless? I know at work most people I know, including myself, run out of steam at about 3 p.m. If adults can't keep up to par all day, how are children expected to make decisions all day?",schoold,FAVOR
"Actually Len is both right and wrong. Right in that tipping creates the environment we enjoy when we go out, but wrong in why it does. The people who seek and do well at jobs paid mainly via tips live in that world and it is a world they are competent and appreciated in. To so drastically change that world by eliminating the immediacy of the action and the reward would appeal to a completely different type of person. I know that I could never have been successful in that world. Because I never would have found pleasure in it. But I respect those that do and enjoy both the experience of being served well and the pleasure of tipping graciously.",tipping at restaurants,AGAINST
The vast majority of heroin users started with prescription drugs which were never meant to be used as maintenance drugs in the first place.. We're still having this dumb debate in 2016.. Statistical gerrymandering... and no one falls for it anymore,prescription drugs,AGAINST
"This was the best post and it's disappointing to see only 2 comments. What the other writers do not seem to grasp is that we the taxpayers fund airports, TSA, the roads to and from the airports, many of the employees, etc. In that sense, we have a vested interest and a right to know what is really going on. Shopping for fares on the internet is a joke-- usually when it comes right down to it, the buyer has to choose the most expensive option as that is the only workable arrangement.",airline fares,AGAINST
"@RadioFreeTom Apparently you arenÕt following the numbers in Georgia and Florida.  But hey that lockdown in New York is working well!  Enjoy your house arrest. IÕm going golfing. 

https://t.co/Ka1unAceCT",lockdown in new york state,FAVOR
"A better question would have been, do you worship on Saturday or Sunday?",gay rights,FAVOR
"Some residents of NYC are rethinking their choice of living in the city.

Effects of: #COVID #lockdown
#WorkFromHome #remoteworking
https://t.co/7cfgP844qe",lockdown in new york state,AGAINST
"I doubt the connection between circumcised men, Lower Class men and becoming Gay. Could you direct me toward the dubious studies from which you make this claim?",gay rights,FAVOR
"With half of our college freshmen needing remedial writing and math, it seems to me that we can afford to set aside this vestigial skill in pursuit of academic competence. Penmanship doesn't matter if you can't put together a coherent sentence.",students,FAVOR
I think itÕs bc NYC isnÕt on lockdown starting today.. and IÕm excited. Like the night before the first day of school. __,lockdown in new york state,AGAINST
"Your argument begins with foolishness and ends with foolishness.If you look, read, and understand the folly between your foolish statement, and foolish command, you will realize that you provided evidence that proves the point of my argument. Do you make it a habit of contradicting yourself?",gay rights,AGAINST
Nuclear energy only provides 8% of U.S. energy. We could easily conserve 8% and then begin the decommissioning of every nuclear power plant. Then we could take the BILLIONS and BILLIONS of dollars thrown at the nuclear industry and invest it in Renewable Energies like Wind and Solar Energy. Germany is HUGELY successful with Wind and Solar Energy. Germany has produced the energy-equivalent of 20 nuclear power plants (yes 20!!) with Solar Energy alone! They are having the same success with Wind Energy. This success in Renewable Energy proves how obsolete and unnecessary nuclear energy is.,nuclear power,AGAINST
"I donÕt know about Cuomo but I do know about Newsom &amp; agree heÕs done a good job because I live in CA we have 40 million people. But here are facts. 28,963 have covid19 thatÕs 0.00072408 of population 1,072 have died. ThatÕs 0.0000268 of population. Very small numbers 4 lockdown https://t.co/DpLZKxEbyQ",lockdown in new york state,FAVOR
"I disagree. For some of us, such as runners who go out in the sweltering heat for a long distance run in the desert, replenishing the salt and electrolytes lost during the run is a matter of health and recovery, not merely a flavoring option. I can understand that sedentary people and some chefs might blanch when the see me salting my food at a restaurant. But I'd like them to realize that I am doing so almost as a medicinal application and would prefer they reserve judgment until they've run a dozen miles in my shoes.",a place at the table,FAVOR
"Numbers of prosecutions by the Department of Justice is no indication of the breadth or depth of political corruption. Most corruption in government is accomplished in secret or it would not be successful. Choices are made as to how investigative and prosecutorial resources are funded and allocated. And most actions that the public would call ""corruption"" while unethical or immoral might not be illegal (large political contributions and a ""you wash my back and I'll wash yours"" mentality). Moreover, the appearance of impropriety is often as corrosive of public trust as actual impropriety or criminality. Finally, when legislation and court interpretations are subject to the golden rule - he who has the gold, rules - coming up with an adequate definition of corruption is difficult at best. And successful law enforcement is often impossible.",corruption,AGAINST
Rep. Pallone ( @FrankPallone) Wants Hearing on Disney/Fox | Multichannel https://t.co/L80fmDfnPV $DIS $FOXA https://t.co/GlFn6GHsUW,merger of disney and fox,AGAINST
"Those who argue to continue the embargo are not sincere. They are representing the families of the rich land owners who fled Cuba after the revolution. They just want their land back, but that is not in the people's best interest...of Cuba or the US. Even today's Communist Cuban government is not as repressive as the rulers they replaced.",sanctions,AGAINST
"Bless Justice Ginsburg for speaking out! It is unprecedented and beyond brave. I am scared of Donald Trump and I am grateful for her action. It is not lost on me that all the people more powerful than me, and the ones I hoped would be the champions of people like me, are acting blind to what Donald Trump is doing or faking deaf to what he is saying. Thank you Justice Ginsburg for speaking up. Thank you Mr. Butler for your story.",elections,FAVOR
"Doctors, in my numerous recent experiences caring for myself and my family, don't often spend much time talking with patients, so I've had to look things up online. I'd rather talk to a doctor with appropriate expertise and knowledge of our specific details. But we get rushed out of the office, usually after a long wait in reception, with just a prescription-- or an appointment for tests or surgery-- in hand. I've found that veterinarians are much more willing to talk; vets have told me about complications to watch for, they've compassionately explained what to expect about the progression of disease and they've offered suggestions for how to cope with the inconvenience and indignities of aging and illness. I respect M.D.s and D.V.M.s-- but I think medical doctors can learn a lot from vets.",medical websites,AGAINST
"I work at a library doing tech, and just to be honest, the vast majority of people coming in to use the lab or free wireless are playing video games, watching YouTube, and working on their Facebook. I've had to deal with the FBI trying to track down people chatting on child porn sites in the library because the IP cannot be pinned to the user and privacy prevents the user from being identified. I see unemployed adults NOT looking for jobs but surfing the net entirely for fun, printing out tattoo patterns, downloading ring tones for their cell phones, and bidding on Ebay. We stopped offering computer training because nobody showed up for these classes. We offer small business website tools that don't get used. It's great to be positive about libraries in the digital age, and certainly my job depends upon this kind of idealism. But our book circulation is down, while DVDs and video games are soaring. The fact that laptops are the highest circulated item at the author's library is probably being used more for gaming than anything else. Just sayin'...",libraries,AGAINST
"""75 percent of the students passed their courses with a C or better"" Who awards the grades? The same teacher who sets the curriculum? Online courses are easier on teachers; do teachers not have an interest in making them appear successful? And what are the grades based on? Online exams taken on the honor system? Does the author believe that these students haven't opened a new window to consult google, Wikipedia or any other online source? How do online students compare with classroom students on objectively assessed test, like the AP exams?",internet learning,AGAINST
"Evolution does not neccasarilly contradict intellegent design. God could have created the universe and used evolution as means of creation. atheáism: a disbelief in the existence of deityhttp://www.merriam-webster.com/dictionary/ATHEISM Aithiests believe that there IS NO GOD, not that God is ""nothing""",creationism,FAVOR
"This outrage at VW is misplaced for two reasons. First, because focus on VW takes the heat off polluters that matter. All the VWs diesels on the road combined put out less pollution than a single power plant. Second if something is worth regulating, it is worth effective enforcement. Enforcement via the honor system is no enforcement at all. When corporations are allowed to control the testing, it is downright silly to get outraged when discovering the results are rigged.",polluter,AGAINST
"Texas -
LT Gov Dan Patrick ripping on #Fauci wants no part of him or his advice 

Texas - 2400 deaths - NO lockdown

NY - 31000 deaths - Hard Lockdown 

Yet we have a ÔcrisisÕ in Texas __

cc: #Cuomo",lockdown in new york state,AGAINST
"We are certainly less informed and are less motivated to be informed. Too much access to entertainment, which is easier to watch than picking up a newspaper or reading a book. Basically, people in this country are increasingly more intellectually lazy than they are stupid.",people,AGAINST
"I have to agree with Paul Butler. Trump is a game changer, potentially an existential threat to our democracy and our very being. As he has broken all of the rules of political and social decency, the 'correct' way to respond may no longer be the smart way. Ms. Ginsberg does us a favor i think by getting us to see that yet another important and smart American sees Donald Trump as a very dangerous man.",elections,FAVOR
"21 century fox still serious about selling. If it's Comcast NBC universal mega company, @BobIgerCEO @disney needs tâ¦ https://t.co/CEElJ8Yz1X",merger of disney and fox,NONE
Ballot paper posted @timfarron has my vote for leader. Our Liberal voice will be heard #HumanRightsAct #AffordableHousing #SemST,climate change is a concern,NONE
@FoxNews LOL. Too bad all the other scientists agree with him. #ClimateChangeDenier #SemST,climate change is a concern,FAVOR
"P.S.: if there are any doubts about my manliness, consider this. Last night for dinner, I had: two slices of pizza with olives, and plenty of garlic and salt, off of paper plates; a non-lite beer; and for dessert, some chocolate-covered squid (really). Completely without regard to health, calories, or halitosis. Manly, I do declare.",modern men,FAVOR
Justice Ginsburg is old enough to do whatever she wants! A sort of old age privilege available to anybody who has passed their 80th birthday. And Trump is dangerous enough to scare even the devil. Ginsburg did the right thing.,free will,FAVOR
" No, it isn't. As far as I can tell the evidence is getting stronger.",creationism,AGAINST
"Israel is such a dishonest broker that this debate is unnecessary. Never mind the crimes against innocent people, never mind the broken promises; how about the atomic bomb they have hidden in plain site. I would agree to disarm Iran if we did the same with Israel. Unfortunately the Jewish lobby in this country spends copious amounts of money to gain political advantage for this rogue country. If they attack Iran, they should reap the whirlwind.",hostility,FAVOR
"Hey Rushers, how's the lockdown going? we hope you are keeping yourselves safe during this #Staysafe period  it's 
#WomensNight: ""My friend was dating one Alhaji in the North where she was posted for her NYSC. It was supposed to be ""just NYSC affair"",but things turned around two",lockdown in new york state,FAVOR
"I am impressed by the many who think they can outthink the electric car mfgrs. In addition to the millions who want to own the latest innovative cars, practical or not, the range of these first cars is within the average trip distance of millions of workers, soccer moms, college kids. And the electrics add to the big car lines, will help bring customers into showrooms where the complete line will tempt buyers. Of course, the big buys have made big mistakes and could make more, but climate change, oil mess, environment awareness is very current. Don't bet too much against the guys spending billions on the electric car.",electric cars,AGAINST
"A gay guy marrying a lesbian? I believe these are refered to as marriages of ""convenience""In which case I protest.I've never heard of anyone's marriage being convenient, so why should homosexuals get one?",gay rights,AGAINST
Nicole Kidman on Why #MeToo Helps Both Men and Women Move Forward https://t.co/czQJ2MqXTK via @variety #womeninfilm #nicolekidman #metoo https://t.co/kffYGXDUjE,metoo movement,FAVOR
"The Christian church of my childhood was hostile to gays, and when I became an adult I made a point of visiting many different Christian churches and asking directly if I was welcome as a homosexual. It didn't go very well. At some point, and if you respect yourself, you just get tired of having so much hostility directed at you. Instead, I learned to meditate, found some compassionate teachers, and formally became a Buddhist in 1998. The Buddhists have only ever showed me unconditional love. I feel great happiness from having found this wonderful, accepting community.",christians,AGAINST
"Arjun Sarja's daughter Aishwarya lashes out, 'Someone like Ms Hariharan is using #MeToo for her own gain' https://t.co/qXrB9rRJVU",metoo movement,NONE
@ThemeParkReview If the Fox deal goes ahead Disney will own 100% of Avatar so it will almost certainly go into otheâ¦ https://t.co/PbCAj1twNv,merger of disney and fox,NONE
"""I've also heard the argument that the pageant experience builds confidence and community among the participants; so does ""nerding out"" on the debate team or flashing across a lacrosse field. (And you still get to wear a skirt, if that's your thing.)"" I find it interesting that you use the term ""if that's your thing"" here, and support the girls who choose to build confidence and community through an experience other than pageantry. What if participating in pageants is ""your thing?"" By competing in pageants, I've met some of the most intelligent, hardworking young women in my community. I've gotten involved in my community on multiple levels, not just by promoting my personal platform (Empowering teens to prevent dating violence). And I have gained communication skills that helped me to land a successful job in my career field within weeks of my college graduation. Maybe pageants are ""my thing."" I don't see a problem with that--only the benefits.",miss america,FAVOR
#Disney in talks to purchase #television assets from 21st Century Fox | Ball State Daily https://t.co/EVAw8QtP9uâ¦ https://t.co/oDTCmbT5Pj,merger of disney and fox,FAVOR
"Bollywood director dismisses #MeToo claims

 A prominent Bollywood director accused of sexual harassment denied the allegations Wednesday as he threatened to sue two fellow filmmakers for defamation over the case which has helped fuel India's #MeToo moveâ¦ https://t.co/z8ShpxE2ht https://t.co/yRl6UnbUdX",metoo movement,AGAINST
"Why is this such an important issue? Muslims should be sensible, diplomatic in their thoughts & actions; and not let this or any similar acts to be used as provocation. Let them burn a few Koran - heck, let them burn a few million copies. Burning some Korans certainly wouldn't weaken Islam. And didn't Allah said that ""I have sent you 'The Book' and I will protect it""? So why are we so threatened by some misguided acts of a few ignorant people and let the detractors sully Islam's name? On another note, the transit worker should not have been fired. It was a private, non-violent act, and if it gave him peace of mind let him have it. Muslims should even urge the transit authority to reinstate him. And it should be remembered that if we gladly accept that denying of someone's right to free expression now out of expediency; then we must also be prepared to accept the same fate in future.",islam,FAVOR
Dismantling tenure suits the reformers and supports the meme that teachers are ineffective and that some outside force (in this case the courts) must oversee decisions made by educators. It is truly unconscionable that conservative think tanks like the Fordham Institute and their staff of political scientists are dismantling the few employee benefits that teachers receive. The reformers won't be appeased until a one size fits all measure is applied to all aspects of teaching and learning.,stability,FAVOR
"So if the Bible can be used as a source for scientific discovery or guidance then what else in there can be demonstrated to be true scientifically?  By what process did God 'stretch out' the heavens, where does God get the   energy   to do so?",creationism,AGAINST
"Personally, I think that priority should be given to those who would use the power of their own legs to get around rather than driving a loud, two ton pollution machine. Don't get me wrong. I'm not saying do away with cars overnight, nor am I saying that it's feasible for everyone to ride a bike wherever they go. But I do think that, eventually, the population will, out of necessity, need to shed the idea that people should drive a car to wherever they need to go forever. The sooner we start encouraging the use of walking and biking, the better off we'll all be.",new york 's,FAVOR
"In World War II, the United States was allied with the evil Soviet Union led by the evil Joseph Stalin. Why? Because the enemy of my enemy is my friend. Of course, we should ally with the evil Assad to crush the even more evil ISIS. Professor Abrahms is 100% right in his analysis. Anyone who disagrees is living in la-la land.",allies in wwii,FAVOR
